v /net1; tran (V) X,v /net1; tran (V) Y,v /VOUT; tran (V) X,v /VOUT; tran (V) Y,v /clk; tran (V) X,v /clk; tran (V) Y,v /net4; tran (V) X,v /net4; tran (V) Y
7.086642726380479e-12,0.6000000178106758,7.086642726380479e-12,0.600017483401507,7.086642726380479e-12,1.205775164563107,7.086642726380479e-12,0.6
7.165457263645384e-12,0.6000000180087584,7.165457263645384e-12,0.6000172022167203,7.165457263645384e-12,1.203718188907138,7.165457263645384e-12,0.6
7.268428861899865e-12,0.6000000182675541,7.268428861899865e-12,0.6000168175662198,7.268428861899865e-12,1.200888602911403,7.268428861899865e-12,0.6
7.474372058408827e-12,0.6000000187851459,7.474372058408827e-12,0.6000159907997634,7.474372058408827e-12,1.194743130816577,7.474372058408827e-12,0.6
7.763893079575679e-12,0.6000000195127916,7.763893079575679e-12,0.6000147024961884,7.763893079575679e-12,1.185000153317647,7.763893079575679e-12,0.6
8.063085368108337e-12,0.6000000202647437,8.063085368108337e-12,0.6000132201448924,8.063085368108337e-12,1.173563741475797,8.063085368108337e-12,0.6
8.394209520931098e-12,0.6000000210969495,8.394209520931098e-12,0.6000114097297902,8.394209520931098e-12,1.159258121106969,8.394209520931098e-12,0.6
8.785243109941034e-12,0.6000000220797241,8.785243109941034e-12,0.600009053454971,8.785243109941034e-12,1.140076760424104,8.785243109941034e-12,0.6
9.325588277204732e-12,0.6000000234377597,9.325588277204732e-12,0.6000054357263851,9.325588277204732e-12,1.109337198998086,9.325588277204732e-12,0.6
9.662794138602367e-12,0.6000000242852505,9.662794138602367e-12,0.6000029811146516,9.662794138602367e-12,1.087543655948238,9.662794138602367e-12,0.6
9.999999999999999e-12,0.6000000251327412,9.999999999999999e-12,0.6000003851975007,9.999999999999999e-12,1.063645614113938,9.999999999999999e-12,0.6
1.009031895772435e-11,0.6000000253597375,1.009031895772435e-11,0.5999996094047009,1.009031895772435e-11,1.056434694471428,1.009031895772435e-11,0.6
