Full Swing Tran Plot X,Full Swing Tran Plot Y,out SR+ Plot X,out SR+ Plot Y,in SR+ Plot X,in SR+ Plot Y
5.926910406453691e-10,0.599880886422163,5.926910406453691e-10,0.1332293904422917,5.926910406453691e-10,1.2
7.06176410534997e-10,0.5998808944581644,7.06176410534997e-10,0.1305489897079011,7.06176410534997e-10,1.2
8.347393651632113e-10,0.5998809035617867,8.347393651632113e-10,0.1281106845766095,8.347393651632113e-10,1.2
9.817899810229921e-10,0.5998809139744844,9.817899810229921e-10,0.1259517828013723,9.817899810229921e-10,1.2
1.149527770170918e-09,0.5998809258519849,1.149527770170918e-09,0.1241409401196259,1.149527770170918e-09,1.2
1.336473279017369e-09,0.5998809390895047,1.336473279017369e-09,0.1227445609029074,1.336473279017369e-09,1.2
1.538236200678791e-09,0.5998809533761459,1.538236200678791e-09,0.1217562048027542,1.538236200678791e-09,1.2
1.752785751429833e-09,0.5998809685680906,1.752785751429833e-09,0.1210838812354108,1.752785751429833e-09,1.2
1.985505826025676e-09,0.5998809850465406,1.985505826025676e-09,0.1206158086001139,1.985505826025676e-09,1.2
2.249829190628587e-09,0.5998810037626013,2.249829190628587e-09,0.1202683676282248,2.249829190628587e-09,1.2
2.564361452284233e-09,0.5998810260336085,2.564361452284233e-09,0.1199913907032645,2.564361452284233e-09,1.2
2.949859460234449e-09,0.5998810533291463,2.949859460234449e-09,0.1197554887383314,2.949859460234449e-09,1.2
3.422279052933199e-09,0.5998810867787574,3.422279052933199e-09,0.1195429745985474,3.422279052933199e-09,1.2
4.005719280452623e-09,0.5998811280884225,4.005719280452623e-09,0.1193354431277323,4.005719280452623e-09,1.2
4.732271149025138e-09,0.5998811795297381,4.732271149025138e-09,0.1191155893757589,4.732271149025138e-09,1.2
5.64834691514473e-09,0.5998812443878488,5.64834691514473e-09,0.1188651090930265,5.64834691514473e-09,1.2
6.82916197724419e-09,0.5998813279863432,6.82916197724419e-09,0.1185609418181178,6.82916197724419e-09,1.2
8.408220175388183e-09,0.5998814397736781,8.408220175388183e-09,0.1181685299072665,8.408220175388183e-09,1.2
1.0652897243173e-08,0.5998815986709192,1.0652897243173e-08,0.1176267628452096,1.0652897243173e-08,1.2
1.419767153609854e-08,0.5998818495699496,1.419767153609854e-08,0.1167998021305242,1.419767153609854e-08,1.2
2.107867019361254e-08,0.5998823364847088,2.107867019361254e-08,0.1152896758921307,2.107867019361254e-08,1.2
2.940399092423337e-08,0.59988292533876,2.940399092423337e-08,0.1136203754865258,2.940399092423337e-08,1.2
3.809654243391506e-08,0.5998835397771051,3.809654243391506e-08,0.1120465891216924,3.809654243391506e-08,1.2
4.736044426248243e-08,0.599884194040752,4.736044426248243e-08,0.1105420280462257,4.736044426248243e-08,1.2
5.726920018261263e-08,0.5998848930331493,5.726920018261263e-08,0.1091114743082124,5.726920018261263e-08,1.2
6.800098156040385e-08,0.5998856488894073,6.800098156040385e-08,0.1077500396516125,6.800098156040385e-08,1.2
7.984369238296679e-08,0.5998864811920647,7.984369238296679e-08,0.1064510173835397,7.984369238296679e-08,1.2
9.306423997812633e-08,0.5998874075737286,9.306423997812633e-08,0.1052249905032421,9.306423997812633e-08,1.2
1.080357471268004e-07,0.5998884523391383,1.080357471268004e-07,0.1040877687729937,1.080357471268004e-07,1.2
1.253061825099265e-07,0.5998896505893028,1.253061825099265e-07,0.1030634467309047,1.253061825099265e-07,1.2
1.457664213341304e-07,0.5998910584261593,1.457664213341304e-07,0.1021894829190128,1.457664213341304e-07,1.2
1.710569386424232e-07,0.5998927771821161,1.710569386424232e-07,0.1015315313801746,1.710569386424232e-07,1.2
2.031209824176387e-07,0.5998949145862417,2.031209824176387e-07,0.1012354749187515,2.031209824176387e-07,1.2
2.389456115696932e-07,0.5998972362800873,2.389456115696932e-07,0.1014619434062641,2.389456115696932e-07,1.2
2.789369592553022e-07,0.5998997295861782,2.789369592553022e-07,0.1022419906808472,2.789369592553022e-07,1.2
3.240374292517118e-07,0.5999023956303827,3.240374292517118e-07,0.1036130158649063,3.240374292517118e-07,1.2
3.753500335357509e-07,0.5999052122005295,3.753500335357509e-07,0.1056230581810351,3.753500335357509e-07,1.2
4.344336680642705e-07,0.5999081303802835,4.344336680642705e-07,0.1083402023424152,4.344336680642705e-07,1.2
5.013215659151373e-07,0.5999109628098913,5.013215659151373e-07,0.1117497603847578,5.013215659151373e-07,1.2
5.777808310517261e-07,0.5999135199874629,5.777808310517261e-07,0.1159031233444742,5.777808310517261e-07,1.2
6.6656378556744e-07,0.5999154879119792,6.6656378556744e-07,0.1209040423110302,6.6656378556744e-07,1.2
7.719582769343265e-07,0.5999163020084441,7.719582769343265e-07,0.1269433523475691,7.719582769343265e-07,1.2
9.014192941662719e-07,0.5999148559263255,9.014192941662719e-07,0.1343942195592819,9.014192941662719e-07,1.2
1.064778027628779e-06,0.5999089051446187,1.064778027628779e-06,0.1437700895313103,1.064778027628779e-06,1.2
1.257341185805814e-06,0.5998956329678932,1.257341185805814e-06,0.1547764246874148,1.257341185805814e-06,1.2
1.484942633878187e-06,0.5998708265533791,1.484942633878187e-06,0.1677771502590211,1.484942633878187e-06,1.2
1.747507313722606e-06,0.5998295831811945,1.747507313722606e-06,0.1828582062226076,1.747507313722606e-06,1.2
2.04504176245156e-06,0.5997662592189549,2.04504176245156e-06,0.2001327194668313,2.04504176245156e-06,1.2
2.410840298375021e-06,0.5996642337939743,2.410840298375021e-06,0.2215941064446361,2.410840298375021e-06,1.2
2.836178608853597e-06,0.5995124687412556,2.836178608853597e-06,0.2466893790928705,2.836178608853597e-06,1.2
3.218516380662795e-06,0.5993461775869466,3.218516380662795e-06,0.2693289793703672,3.218516380662795e-06,1.2
3.694745982786156e-06,0.5991005675163128,3.694745982786156e-06,0.2976790918066685,3.694745982786156e-06,1.2
4.396073275228699e-06,0.5986640886229772,4.396073275228699e-06,0.3398699668539283,4.396073275228699e-06,1.2
5.227307783052131e-06,0.598037198874012,5.227307783052131e-06,0.390615149360336,5.227307783052131e-06,1.2
5.651635272633342e-06,0.5976726363537728,5.651635272633342e-06,0.4167933142995081,5.651635272633342e-06,1.2
6.044761886710773e-06,0.5973091082624218,6.044761886710773e-06,0.4411575671650424,6.044761886710773e-06,1.2
6.420894166305227e-06,0.5969388275589318,6.420894166305227e-06,0.4645028524503416,6.420894166305227e-06,1.2
6.834096761541522e-06,0.5965074690872145,6.834096761541522e-06,0.4900893815243817,6.834096761541522e-06,1.2
7.21515675094483e-06,0.5960874573137046,7.21515675094483e-06,0.5135331468149344,7.21515675094483e-06,1.2
7.645247397834022e-06,0.5955885809009445,7.645247397834022e-06,0.5396776367823733,7.645247397834022e-06,1.2
8.042793897855544e-06,0.5951047309098815,8.042793897855544e-06,0.5633862019551557,8.042793897855544e-06,1.2
8.464060054459976e-06,0.594568908312366,8.464060054459976e-06,0.5877780960279049,8.464060054459976e-06,1.2
8.953911486166128e-06,0.5939168938337132,8.953911486166128e-06,0.61469868640143,8.953911486166128e-06,1.2
