pulse_out X,pulse_out Y,pulse_in X,pulse_in Y
4.702653319069488e-05,0.3919173142250649,4.702653319069488e-05,0.59
4.802653319069487e-05,0.3919137793895389,4.802653319069487e-05,0.59
4.902653319069487e-05,0.3919118195101945,4.902653319069487e-05,0.59
5.000000000000001e-05,0.3919120496306998,5.000000000000001e-05,0.5900000000135525
5.000001e-05,0.3919124718959665,5.000001e-05,0.61
5.000001263529064e-05,0.3919125385333685,5.000001263529064e-05,0.61
5.000001558384645e-05,0.391912689308736,5.000001558384645e-05,0.61
5.000001839061885e-05,0.3919127597082984,5.000001839061885e-05,0.61
5.000002400416365e-05,0.3919128997183911,5.000002400416365e-05,0.61
5.000003523125325e-05,0.3919131762279944,5.000003523125325e-05,0.61
5.000005768543244e-05,0.3919137152570141,5.000005768543244e-05,0.61
5.000010259379083e-05,0.3919147383464116,5.000010259379083e-05,0.61
5.000019241050761e-05,0.3919165727288049,5.000019241050761e-05,0.61
5.000037204394118e-05,0.3919194537029246,5.000037204394118e-05,0.61
5.00007313108083e-05,0.3919224675205267,5.00007313108083e-05,0.61
5.000113779315379e-05,0.3919221468178369,5.000113779315379e-05,0.61
5.000159094623969e-05,0.3919180199731049,5.000159094623969e-05,0.61
5.000211890084643e-05,0.3919093418666112,5.000211890084643e-05,0.61
5.00027543382291e-05,0.3918948875053883,5.00027543382291e-05,0.61
5.000356731073852e-05,0.3918722997651928,5.000356731073852e-05,0.61
5.000468564390245e-05,0.3918377769153351,5.000468564390245e-05,0.61
5.000639221772843e-05,0.391786162745335,5.000639221772843e-05,0.61
