out SR+ Plot X,out SR+ Plot Y,in SR+ Plot X,in SR+ Plot Y,pulse_out X,pulse_out Y,pulse_in X,pulse_in Y
1.000010957119551e-05,0.384434477839207,1.000010957119551e-05,0.4382847820362892,1.000010957119551e-05,0.3893800653630914,1.000010957119551e-05,0.5900109571195509
1.000013176969766e-05,0.4387111430889348,1.000013176969766e-05,0.527078790633689,1.000013176969766e-05,0.3893800963570543,1.000013176969766e-05,0.5900131769697659
1.000015409517841e-05,0.4902123282887546,1.000015409517841e-05,0.6163807136542283,1.000015409517841e-05,0.3893801279022976,1.000015409517841e-05,0.5900154095178414
1.000017497615404e-05,0.5372417751112941,1.000017497615404e-05,0.6999046161431169,1.000017497615404e-05,0.3893801577421629,1.000017497615404e-05,0.5900174976154036
1.000019202204864e-05,0.5745250742384482,1.000019202204864e-05,0.7680881945553406,1.000019202204864e-05,0.3893801823397757,1.000019202204864e-05,0.5900192022048638
1.000021061223587e-05,0.61429825778518,1.000021061223587e-05,0.842448943484469,1.000021061223587e-05,0.3893802094075329,1.000021061223587e-05,0.5900210612235871
1.0000234109206e-05,0.6636311814498441,1.0000234109206e-05,0.9364368239850708,1.0000234109206e-05,0.3893802439765756,1.0000234109206e-05,0.5900234109205996
1.000026186304284e-05,0.7209975565103041,1.000026186304284e-05,1.04745217134486,1.000026186304284e-05,0.38938028531553,1.000026186304284e-05,0.5900261863042836
1.000028093152142e-05,0.7600113079962972,1.000028093152142e-05,1.123726085673746,1.000028093152142e-05,0.3893803140329721,1.000028093152142e-05,0.5900280931521418
1.00003e-05,0.7987703046595186,1.00003e-05,1.2,1.00003e-05,0.3893803430042562,1.00003e-05,0.5900300000000001
1.000030291191959e-05,0.798502215005033,1.000030291191959e-05,1.2,1.000030291191959e-05,0.3893803474536487,1.000030291191959e-05,0.5900302911919594
1.000030582829471e-05,0.7982335812654613,1.000030582829471e-05,1.2,1.000030582829471e-05,0.389380351913755,1.000030582829471e-05,0.5900305828294707
1.000030967282539e-05,0.7978791254501014,1.000030967282539e-05,1.2,1.000030967282539e-05,0.389380357801443,1.000030967282539e-05,0.5900309672825392
1.000031736188676e-05,0.7971690353279339,1.000031736188676e-05,1.2,1.000031736188676e-05,0.3893803696066919,1.000031736188676e-05,0.5900317361886761
1.00003327400095e-05,0.7957441201280711,1.00003327400095e-05,1.2,1.00003327400095e-05,0.3893803933378219,1.00003327400095e-05,0.5900332740009501
1.000036349625498e-05,0.792875838003114,1.000036349625498e-05,1.2,1.000036349625498e-05,0.3893804412788623,1.000036349625498e-05,0.5900363496254979
1.000042500874594e-05,0.7870704964113154,1.000042500874594e-05,1.2,1.000042500874594e-05,0.3893805390359129,1.000042500874594e-05,0.5900425008745934
1.000054803372785e-05,0.7752171404653252,1.000054803372785e-05,1.2,1.000054803372785e-05,0.3893807417233662,1.000054803372785e-05,0.5900548033727846
1.000077274030738e-05,0.752849422750702,1.000077274030738e-05,1.2,1.000077274030738e-05,0.3893811345628652,1.000077274030738e-05,0.5900772740307375
1.000098996528665e-05,0.7304445751453474,1.000098996528665e-05,1.2,1.000098996528665e-05,0.3893815393053613,1.000098996528665e-05,0.5900989965286646
1.000118007905257e-05,0.7109497203274782,1.000118007905257e-05,1.2,1.000118007905257e-05,0.3893819112811917,1.000118007905257e-05,0.5901180079052568
1.000140476401455e-05,0.6877544787353056,1.000140476401455e-05,1.2,1.000140476401455e-05,0.3893823689168456,1.000140476401455e-05,0.5901404764014548
1.000167307071113e-05,0.6601087599072615,1.000167307071113e-05,1.2,1.000167307071113e-05,0.3893829359842715,1.000167307071113e-05,0.5901673070711132
1.000199212189064e-05,0.6277714769763277,1.000199212189064e-05,1.2,1.000199212189064e-05,0.3893836315737685,1.000199212189064e-05,0.5901992121890636
1.000233441031991e-05,0.5941447240705668,1.000233441031991e-05,1.2,1.000233441031991e-05,0.3893843934559458,1.000233441031991e-05,0.5902334410319908
1.000271341838578e-05,0.5585162268945388,1.000271341838578e-05,1.2,1.000271341838578e-05,0.3893852427617735,1.000271341838578e-05,0.5902713418385781
1.000313351169538e-05,0.5211761611147542,1.000313351169538e-05,1.2,1.000313351169538e-05,0.3893861741513429,1.000313351169538e-05,0.590313351169538
1.000360368631718e-05,0.4820938366194663,1.000360368631718e-05,1.2,1.000360368631718e-05,0.3893871819679587,1.000360368631718e-05,0.5903603686317179
1.000413653644412e-05,0.4411348789763979,1.000413653644412e-05,1.2,1.000413653644412e-05,0.389388250375897,1.000413653644412e-05,0.590413653644412
1.00047444605887e-05,0.3984692928764089,1.00047444605887e-05,1.2,1.00047444605887e-05,0.3893893338158038,1.00047444605887e-05,0.5904744460588696
1.000544279971428e-05,0.3544849091365631,1.000544279971428e-05,1.2,1.000544279971428e-05,0.3893903463572317,1.000544279971428e-05,0.590544279971428
1.000625485879804e-05,0.3097990653940564,1.000625485879804e-05,1.2,1.000625485879804e-05,0.3893911384017205,1.000625485879804e-05,0.5906254858798039
1.000693910974293e-05,0.2759449291165031,1.000693910974293e-05,1.2,1.000693910974293e-05,0.3893914343889349,1.000693910974293e-05,0.5906939109742925
1.000764882875614e-05,0.2446696271855812,1.000764882875614e-05,1.2,1.000764882875614e-05,0.3893913362136577,1.000764882875614e-05,0.590764882875614
1.000895538794517e-05,0.1963164210015518,1.000895538794517e-05,1.2,1.000895538794517e-05,0.3893899378995055,1.000895538794517e-05,0.5908955387945172
1.001008862639314e-05,0.1625622488575208,1.001008862639314e-05,1.2,1.001008862639314e-05,0.38938735220733,1.001008862639314e-05,0.5910088626393144
1.001123355246955e-05,0.1346684150057935,1.001123355246955e-05,1.2,1.001123355246955e-05,0.3893833713004982,1.001123355246955e-05,0.5911233552469549
1.001243245262249e-05,0.1108092845781185,1.001243245262249e-05,1.2,1.001243245262249e-05,0.3893776820849025,1.001243245262249e-05,0.5912432452622488
1.001370712749292e-05,0.09018668847232406,1.001370712749292e-05,1.2,1.001370712749292e-05,0.3893699045122977,1.001370712749292e-05,0.5913707127492914
1.001508090377133e-05,0.07242828876131364,1.001508090377133e-05,1.2,1.001508090377133e-05,0.3893595516379105,1.001508090377133e-05,0.591508090377133
1.001666818123481e-05,0.05621541472343936,1.001666818123481e-05,1.2,1.001666818123481e-05,0.3893451449391361,1.001666818123481e-05,0.5916668181234808
1.001826080045946e-05,0.04368814689102896,1.001826080045946e-05,1.2,1.001826080045946e-05,0.3893282186424321,1.001826080045946e-05,0.5918260800459462
1.002018534440102e-05,0.0321710341377851,1.002018534440102e-05,1.2,1.002018534440102e-05,0.3893047975225153,1.002018534440102e-05,0.5920185344401022
1.00221524712876e-05,0.02350146702174298,1.00221524712876e-05,1.2,1.00221524712876e-05,0.3892779232400329,1.00221524712876e-05,0.5922152471287604
1.002443289607766e-05,0.01638334541239749,1.002443289607766e-05,1.2,1.002443289607766e-05,0.3892438114053776,1.002443289607766e-05,0.5924432896077663
1.002705027349324e-05,0.01075216853893762,1.002705027349324e-05,1.2,1.002705027349324e-05,0.389201969244777,1.002705027349324e-05,0.5927050273493244
