OffsetVoltage_CScomp X,
0.00333110761768739,6
0.00339108218426298,10
0.00339110022438969,11
0.00339113055661571,8
0.00351112435819335,4
0.00369108217410281,7
0.00375109992699093,12
0.00375114529264356,14
0.00375114696432713,5
0.0038111592434977,9
0.00387111493445299,2
0.00393116811413129,1
0.00399107495937005,13
0.00399118476322692,16
0.0041710913079467,15
0.00519109579463288,2
0.00537110980944241,1
