OffsetVoltage_lewis_alt X,
0.00216006064008955,28
0.0024900515250033,18
0.00249005356100416,15
0.00249005413634107,21
0.00249005504055153,37
0.00249005631069881,73
0.00249006144736166,67
0.00249006423180079,84
0.00249006607791511,48
0.00249006751865014,36
0.00282005139605873,71
0.00282005231138177,12
0.00282005246214112,30
0.00282005433074139,64
0.00282005633494921,57
0.0028200563607083,80
0.00315005162723858,38
0.00315005190489451,7
0.00315005333519073,48
0.00315005377538372,54
0.00348005109676071,45
0.00348005296414547,17
0.00348005318993666,37
0.0034800573899418,25
0.00348005751332291,33
0.0034800627326235,39
0.00348008187353928,3
0.00381005153274944,58
0.00381005248776704,42
0.00381005291414242,14
0.00381005367066335,23
0.00381005383899656,40
0.00381005466124586,44
0.00381005541832178,6
0.00381005635784249,53
0.00381005638194381,11
0.00381005946281339,22
0.0038100607431631,5
0.00381007404969617,57
0.0041400510246201,28
0.00414005270236493,20
0.00414005291154855,47
0.00414005419316023,8
0.00414005512113378,30
0.00414005587148038,46
0.00414005960848331,16
0.00414006317396512,51
0.00447005097684272,49
0.00447005288622753,55
0.00447005297836277,4
0.00447005470706306,15
0.00447005595181756,56
0.00447005986533713,29
0.00447006371877443,41
0.00447006451918052,13
0.00480005219880572,34
0.00480005233380749,36
0.00480005245671557,19
0.00480005339625027,1
0.0048000633036829,32
0.00513005129923706,12
0.00513005147563231,52
0.00513005223678256,18
0.00513005235407837,10
0.00513005274157988,21
0.00513005328937792,24
0.00513005500108308,9
0.00513005550046914,27
0.00546005990888116,31
0.00546006993259058,26
0.0057900515635317,43
0.00579005875335034,50
0.00579007008397335,2
0.00579007106523834,35
0.00612005142271749,31
0.00612005740539863,27
0.00612005792136719,10
0.0061200599049778,14
0.00612006084911011,37
0.0061200637640298,30
0.00645005191706564,35
0.00645005195460949,1
0.00645005364569482,28
0.0064500545688142,15
0.00645005497538114,3
0.00645005512939567,24
0.00678005149628459,16
0.00678005246021151,26
0.00678005416899819,9
0.00678005519554113,19
0.00678005519940806,17
0.00678005651186463,6
0.00678005755078539,22
0.0067800628011253,18
0.00711005156240398,5
0.00711005476200744,12
0.00711005592812659,8
0.00744005204980312,32
0.00744005677845777,29
0.00744005939201989,23
0.00777005731367239,11
0.00777006610200966,33
0.00810005197436349,4
0.008100054244479951,21
0.00810005437422872,20
0.008430051442457639,2
0.008430053170256181,25
0.008430053335814411,7
0.00843005412873064,36
0.008430054229891709,13
0.00876005698798853,34
0.009090052341008381,8
0.00909005293353515,5
0.009090053266407621,11
0.009090058402893069,7
0.00909006303598524,12
0.009420052689058661,13
0.00942005562949786,15
0.00975005126971173,2
0.009750054801095521,16
0.0100800514887033,18
0.0104100717375077,1
0.0107400530296945,14
0.0107400570096688,17
0.0110700550635983,6
0.0110700554443987,9
0.0117300517381472,3
0.0117300519940549,4
0.0117300557281947,10
0.0120600527692676,7
0.0123900600363018,5
0.0127200589823062,1
0.0130500518041498,2
0.0130500603765401,6
0.0140400524327725,4
0.0150300533160021,3
