OffsetVoltage_lewis X,
-0.00039997537965666,14
-0.00039997481624725,82
-0.000299977792568129,45
-0.000299974094092517,41
-0.000199977866591516,46
-0.000199977729055185,51
0.000200022279515942,28
0.000300023590224519,67
0.000400025307062544,17
0.000500023997459367,55
0.000600023317021154,10
0.000700022135392182,30
0.000700022494473911,25
0.000800022192317086,75
0.000900024048239084,27
0.00100002330653292,71
0.00110002397082988,3
0.00110002533776709,24
0.00110002707193543,18
0.0013000228782437,34
0.0013000232335901,20
0.00150002218382007,31
0.001600023305324,60
0.00160002333929467,38
0.00200002250615924,15
0.00260002603973081,65
0.00270002256118256,79
0.00270002866031575,4
0.00300002192682736,50
0.00310002326080649,9
0.00310002620538063,69
0.00310002773895165,1
0.00320002196794268,43
0.00320002366654646,6
0.00320002596553781,81
0.00330002504012435,48
0.00340002247811181,12
0.00340002312822355,37
0.00370002585162062,42
0.00380002620020296,64
0.00390002378764624,35
0.00400002209906322,39
0.00400002282912285,58
0.00400002373844553,33
0.00400002459065953,49
0.00420002339591935,7
0.00430002329054625,19
0.00440002209276438,52
0.00450002312680054,73
0.00450002335456793,8
0.00450002367149043,54
0.00460002214395319,68
0.00460002288462517,47
0.00460002322130887,21
0.00470002327776959,56
0.00490002595110259,2
0.00500002377164868,40
0.00500002613772176,74
0.00530002276599088,32
0.00530002372701109,80
0.00530002499917002,26
0.00540002667903175,36
0.00550002433044849,62
0.00550002512878056,23
0.00550002613837953,5
0.00560002994483595,29
0.00580002205578798,85
0.00600002351376658,22
0.00600002609213035,16
0.00610002308949057,76
0.00610002350836321,70
0.00610002427209282,63
0.00610002573303525,77
0.00660002275928402,29
0.00680002542946949,37
0.00690002335229434,10
0.00700002229136213,56
0.0071000264151405,42
0.00720002285141182,14
0.00720002290110603,58
0.0072000229861282,66
0.00720002445192144,61
0.00730002251440012,5
0.00770002290600073,12
0.00780002254407141,11
0.00800002264115845,51
0.00830002316173039,8
0.008300024648609679,34
0.00850002301631524,4
0.00870002247488281,49
0.00870002284846557,32
0.008700024023023469,33
0.00870002662964404,17
0.008800022864277239,31
0.00890002204710383,55
0.008900027141609569,57
0.009000022553953451,38
0.00900002302259886,30
0.009200024889460491,59
0.0093000221566944,36
0.00930002319663331,48
0.009300028033751561,54
0.009700023179629281,67
0.00980002259258618,60
0.0100000222873341,44
0.0104000226316157,6
0.0104000226913037,1
0.0104000238598713,9
0.0105000243596868,15
0.0106000233839335,39
0.0107000225696732,63
0.010800022312193,20
0.0109000223453106,64
0.0111000224554842,23
0.011100023993582,65
0.0112000227576523,62
0.0114000277997087,45
0.0115000226880242,2
0.0116000241835292,24
0.0116000262005263,22
0.0117000224834185,46
0.01170002445241,41
0.0117000250445742,68
0.0118000305759772,52
0.0121000221635322,16
0.0122000223913,27
0.0122000231697551,19
0.0123000222264826,25
0.0123000222856909,50
0.0123000232568464,3
0.012600022967525,28
0.0127000223907788,35
0.0127000225766381,53
0.0129000228389469,13
0.0138000226096358,40
0.013800025517573,47
0.0139000233030707,69
0.0139000296021535,21
0.0140000223520676,7
0.0140000223716412,43
0.0140000224973281,26
0.0144000234083067,18
0.0148000222531906,7
0.0148000224167067,31
0.0148000243019793,16
0.0151000224868607,34
0.0153000252781294,14
0.0156000230624074,9
0.01580002456515,35
0.0159000220774134,12
0.0159000283000845,25
0.0162000243084003,19
0.0165000221914983,21
0.0165000244314742,17
0.0166000232831007,27
0.0166000243652424,13
0.0168000243240901,32
0.0169000235408683,15
0.0171000236209511,8
0.01720002258319,33
0.0173000231099474,29
0.0174000237314589,10
0.0175000232412373,23
0.0175000282253885,1
0.0177000267239305,2
0.0178000247473714,26
0.0187000230340768,20
0.0189000228886967,24
0.0191000220477369,30
0.0195000230692484,11
0.0197000240075014,6
0.0199000228970006,3
0.0199000235615262,22
0.0202000259910789,5
0.0204000239456566,28
0.0207000226481893,18
0.0213000231464924,4
0.0226000266861959,14
0.0233000221426577,5
0.023300023643793,9
0.0235000235289184,10
0.0236000240226536,8
0.0239000227636114,3
0.0241000226825981,13
0.0244000243469343,4
0.0247000246592187,6
0.0247000248187627,16
0.0255000231319598,11
0.0257000230820842,12
0.0263000228545695,7
0.0266000222965351,15
0.027900026771726,1
0.0286000228107729,2
0.0307000234660682,4
0.0309000249975087,6
0.0312000268793417,8
0.0323000228614026,7
0.0330000246037104,5
0.0335000241283995,2
0.0335000271522394,3
0.0346000248424681,10
0.035000031612414,1
0.037900023118177,11
0.0380000228146453,9
0.0396000228613851,8
0.0406000284781831,1
0.0407000239663669,2
0.0413000240421735,7
0.0414000287836339,5
0.0416000238211898,3
0.041800022923885,6
0.0466000230605802,4
