OffsetVoltage_lewis_alt X,
0.000800126049173917,26
0.000900120135730384,54
0.000900120636488487,44
0.000900123514794574,33
0.0009001244091342301,62
0.0009001248032098949,70
0.0009001253093612721,32
0.000900126565791155,18
0.00090012824029142,6
0.000900133245217656,2
0.000900134476555025,9
0.00100012310777209,15
0.00100012378777989,45
0.00100012605026539,10
0.0010001322655633,11
0.00100013909984221,50
0.00100014055229021,34
0.00110012222740299,16
0.00110012228873897,47
0.00110012266326128,71
0.00110012294960822,27
0.00110012372642119,24
0.00110012564203755,4
0.00110012925422099,53
0.00110012994129761,66
0.00110013862919043,20
0.00120012212918493,42
0.00120012366152024,39
0.00120012430187348,28
0.00120012430952004,41
0.00120012582153772,68
0.00120012601585068,37
0.00120012604349641,73
0.00120012609362711,30
0.0013001200867218,38
0.00130012226260822,65
0.00130012303987348,35
0.00130012438601808,22
0.00130012450402305,57
0.00130012593701003,21
0.00130013068287716,74
0.00130013513295139,7
0.00130013920478436,14
0.00140012084834946,1
0.00140012217672451,26
0.00140012238450712,6
0.00140012239476426,7
0.00140012357659637,2
0.00140012407180538,5
0.00140012467690846,25
0.00140012541117583,18
0.00140012649959692,50
0.00140012927466641,37
0.0014001296285046,16
0.00140014964756857,28
0.00150012170093425,33
0.00150012316133371,47
0.00150012347515636,30
0.00150012426703714,24
0.00150012510380711,53
0.00150012717680931,19
0.00150012911405092,46
0.00150013439346225,42
0.00160012252544267,49
0.00160012511828844,22
0.00160013446675742,41
0.00170012379752529,31
0.00170012441650939,51
0.00170012464358392,43
0.00170012568466061,45
0.00170012724276195,48
0.00170012844461228,38
0.00170012867680746,52
0.00170014079184839,29
0.00180012547904557,20
0.00180012596742129,34
0.00180013692775489,14
0.00190012069743516,36
0.00190012174495524,21
0.00190012486420973,23
0.00190012643214884,12
0.00190013546862311,35
0.00190013885005878,3
0.00200012105674237,17
0.00200012109128004,44
0.00200012590411477,40
0.00200012736311181,27
0.00200012740654449,11
0.00200012891719976,39
0.00200013224475036,4
0.00200013479418623,15
0.0020001356999919,13
0.00210012182418906,8
0.00210012941007357,10
0.00210013043005181,9
0.00210013357202836,32
0.00220012273418614,6
0.00220012538864369,2
0.00220013159877374,11
0.00230012443742358,12
0.00230012783283589,16
0.00240012202264986,9
0.0024001262348975,1
0.00240012880965517,8
0.00250012086861632,14
0.00250012209983156,13
0.00260013248614963,3
0.00270012021400748,5
0.00290013283516797,10
0.00300012229472268,7
0.00300012255482481,15
0.0030001277101144,4
0.00310011892778489,5
0.00320011984168488,2
0.00320012372430137,4
0.003300120218813,6
0.00340012869042235,3
0.00350013279374727,1
0.0041001255407357,2
0.00480012936530986,1
