v /net1; tran (V) X,v /net1; tran (V) Y,v /VOUT; tran (V) X,v /VOUT; tran (V) Y,v /clk; tran (V) X,v /clk; tran (V) Y,v /net4; tran (V) X,v /net4; tran (V) Y
2.666524102139318e-10,0.6000006701706023,2.666524102139318e-10,0.600001953994249,2.666524102139318e-10,0.0001389043883784921,2.666524102139318e-10,0.6
2.669105787872318e-10,0.6000006708194507,2.669105787872318e-10,0.6000019752016869,2.669105787872318e-10,0.0001439804430148216,2.669105787872318e-10,0.6
2.671656504493275e-10,0.6000006714605157,2.671656504493275e-10,0.6000019962879033,2.671656504493275e-10,0.0001498162625652067,2.671656504493275e-10,0.6
2.674228417573299e-10,0.600000672106908,2.674228417573299e-10,0.6000020176653371,2.674228417573299e-10,0.0001564833735444402,2.674228417573299e-10,0.6
2.676882684109526e-10,0.6000006727739979,2.676882684109526e-10,0.6000020397904127,2.676882684109526e-10,0.0001640684912951115,2.676882684109526e-10,0.6
2.679736525576027e-10,0.6000006734912465,2.679736525576027e-10,0.6000020641228933,2.679736525576027e-10,0.0001738892699205555,2.679736525576027e-10,0.6
2.682792922755595e-10,0.600000674259403,2.682792922755595e-10,0.6000020909121692,2.682792922755595e-10,0.000186492746739364,2.682792922755595e-10,0.6
2.685865545538694e-10,0.6000006750316373,2.685865545538694e-10,0.6000021169629869,2.685865545538694e-10,0.0001982831713139638,2.685865545538694e-10,0.6
2.688904057054009e-10,0.6000006757952985,2.688904057054009e-10,0.6000021415242114,2.688904057054009e-10,0.0002084431484822044,2.688904057054009e-10,0.6
2.691789805901341e-10,0.6000006765205663,2.691789805901341e-10,0.6000021635585067,2.691789805901341e-10,0.0002163418207278369,2.691789805901341e-10,0.6
2.694593093693619e-10,0.6000006772251094,2.694593093693619e-10,0.6000021839030494,2.694593093693619e-10,0.0002226439838721751,2.694593093693619e-10,0.6
2.696941551451012e-10,0.6000006778153412,2.696941551451012e-10,0.6000022000059712,2.696941551451012e-10,0.000226621985400684,2.696941551451012e-10,0.6
2.699368695418177e-10,0.600000678425349,2.699368695418177e-10,0.6000022157399053,2.699368695418177e-10,0.0002294654351947698,2.699368695418177e-10,0.6
2.702237549600891e-10,0.6000006791463707,2.702237549600891e-10,0.6000022331990652,2.702237549600891e-10,0.0002312528708615889,2.702237549600891e-10,0.6
2.70552133077848e-10,0.6000006799716749,2.70552133077848e-10,0.6000022517892605,2.70552133077848e-10,0.0002314146774711931,2.70552133077848e-10,0.6
2.709220684964272e-10,0.600000680901424,2.709220684964272e-10,0.6000022711553024,2.709220684964272e-10,0.0002295512021162882,2.709220684964272e-10,0.6
2.713348729104659e-10,0.6000006819389146,2.713348729104659e-10,0.6000022911092726,2.713348729104659e-10,0.0002254605211902501,2.713348729104659e-10,0.6
2.717921790033612e-10,0.6000006830882503,2.717921790033612e-10,0.600002311570804,2.717921790033612e-10,0.0002191782809804778,2.717921790033612e-10,0.6
2.72294489894651e-10,0.6000006843506952,2.72294489894651e-10,0.6000023325232664,2.72294489894651e-10,0.0002109725461818799,2.72294489894651e-10,0.6
2.728357680927159e-10,0.6000006857110757,2.728357680927159e-10,0.6000023536786904,2.728357680927159e-10,0.0002012074665900429,2.728357680927159e-10,0.6
2.733994274674369e-10,0.6000006871277063,2.733994274674369e-10,0.6000023741310897,2.733994274674369e-10,0.0001899519311809858,2.733994274674369e-10,0.6
2.73974940378482e-10,0.6000006885741279,2.73974940378482e-10,0.6000023928405364,2.73974940378482e-10,0.0001762902612950554,2.73974940378482e-10,0.6
2.745904114088374e-10,0.6000006901209753,2.745904114088374e-10,0.6000024092645391,2.745904114088374e-10,0.0001570152012692982,2.745904114088374e-10,0.6
2.753122423154881e-10,0.6000006919351343,2.753122423154881e-10,0.6000024213243478,2.753122423154881e-10,0.000123551481890967,2.753122423154881e-10,0.6
2.760159264783254e-10,0.6000006937036855,2.760159264783254e-10,0.6000024225165163,2.760159264783254e-10,7.379923432222656e-05,2.760159264783254e-10,0.6
2.766558093771056e-10,0.6000006953118866,2.766558093771056e-10,0.6000024124629315,2.766558093771056e-10,9.983429477491671e-06,2.766558093771056e-10,0.6
2.772850526375964e-10,0.6000006968933475,2.772850526375964e-10,0.6000023872374632,2.772850526375964e-10,-7.949366090221095e-05,2.772850526375964e-10,0.6
2.778563200285277e-10,0.600000698329099,2.778563200285277e-10,0.600002350000731,2.778563200285277e-10,-0.0001858571694657648,2.778563200285277e-10,0.6
2.784053930867069e-10,0.6000006997090701,2.784053930867069e-10,0.6000023045683091,2.784053930867069e-10,-0.0003046919223572842,2.784053930867069e-10,0.6
2.792135091295919e-10,0.6000007017400872,2.792135091295919e-10,0.6000022243182661,2.792135091295919e-10,-0.0005022073108836569,2.792135091295919e-10,0.6
2.80180312628663e-10,0.6000007041699295,2.80180312628663e-10,0.6000021150193525,2.80180312628663e-10,-0.0007598276628841312,2.80180312628663e-10,0.6
2.806400616478859e-10,0.6000007053254047,2.806400616478859e-10,0.6000020657591492,2.806400616478859e-10,-0.0008760429403367478,2.806400616478859e-10,0.6
2.810681831760683e-10,0.6000007064013915,2.810681831760683e-10,0.6000020221442051,2.810681831760683e-10,-0.0009793685856137335,2.810681831760683e-10,0.6
2.818647088430343e-10,0.6000007084032789,2.818647088430343e-10,0.6000019437272527,2.818647088430343e-10,-0.001164843380713391,2.818647088430343e-10,0.6
2.826807239547011e-10,0.6000007104541485,2.826807239547011e-10,0.6000018602524736,2.826807239547011e-10,-0.001358496898329685,2.826807239547011e-10,0.6
2.832982217094012e-10,0.6000007120060896,2.832982217094012e-10,0.6000017929310243,2.832982217094012e-10,-0.001511340185105408,2.832982217094012e-10,0.6
