Full Swing Tran Plot X,Full Swing Tran Plot Y,out SR+ Plot X,out SR+ Plot Y,in SR+ Plot X,in SR+ Plot Y
1.070899459314022e-09,0.5999991856330039,1.070899459314022e-09,0.03475529686102836,1.070899459314022e-09,1.2
1.272634752528638e-09,0.5999992325806734,1.272634752528638e-09,0.03482247974540325,1.272634752528638e-09,1.2
1.507314430018346e-09,0.599999287197633,1.507314430018346e-09,0.03489039004554095,1.507314430018346e-09,1.2
1.78254481400661e-09,0.5999993512553655,1.78254481400661e-09,0.03495930773580755,1.78254481400661e-09,1.2
2.107085973263003e-09,0.5999994267945141,2.107085973263003e-09,0.03502921218459779,2.107085973263003e-09,1.2
2.490775939753742e-09,0.5999995161075,2.490775939753742e-09,0.03510071796393056,2.490775939753742e-09,1.2
2.945008629771765e-09,0.5999996218501117,2.945008629771765e-09,0.03517261812429525,2.945008629771765e-09,1.2
3.483635429586635e-09,0.5999997472518946,3.483635429586635e-09,0.03524498978385426,3.483635429586635e-09,1.2
4.123219624448306e-09,0.5999998961761331,4.123219624448306e-09,0.03531760332707154,4.123219624448306e-09,1.2
4.884251382560081e-09,0.6000000734038131,4.884251382560081e-09,0.03539102034192731,4.884251382560081e-09,1.2
5.791534417445154e-09,0.6000002847252209,5.791534417445154e-09,0.03546437404606073,5.791534417445154e-09,1.2
6.875548195306694e-09,0.6000005372593938,6.875548195306694e-09,0.03553793184113324,6.875548195306694e-09,1.2
8.172903491363892e-09,0.6000008395633204,8.172903491363892e-09,0.03561162761246801,8.172903491363892e-09,1.2
9.728685149956649e-09,0.6000012021820773,9.728685149956649e-09,0.03568592128676112,9.728685149956649e-09,1.2
1.159748975674769e-08,0.6000016378967006,1.159748975674769e-08,0.03576046662102394,1.159748975674769e-08,1.2
1.384633128165899e-08,0.6000021624097662,1.384633128165899e-08,0.03583556641200715,1.384633128165899e-08,1.2
1.65564460766064e-08,0.6000027947774025,1.65564460766064e-08,0.03591136725376708,1.65564460766064e-08,1.2
1.982781853873337e-08,0.6000035584795627,1.982781853873337e-08,0.03598815411000849,1.982781853873337e-08,1.2
2.378253238214996e-08,0.6000044822205852,2.378253238214996e-08,0.03606678905415368,2.378253238214996e-08,1.2
2.857026373886041e-08,0.6000056012331429,2.857026373886041e-08,0.0361469972407204,2.857026373886041e-08,1.2
3.437609744912699e-08,0.6000069591263993,3.437609744912699e-08,0.03622967988030406,3.437609744912699e-08,1.2
4.142535058757246e-08,0.6000086090276754,4.142535058757246e-08,0.03631548576850815,4.142535058757246e-08,1.2
4.999929023156736e-08,0.6000106172486916,4.999929023156736e-08,0.03640526632653527,4.999929023156736e-08,1.2
6.044429651513611e-08,0.6000130653587252,6.044429651513611e-08,0.03650004472923084,6.044429651513611e-08,1.2
7.319027024930531e-08,0.6000160542858151,7.319027024930531e-08,0.03660102863200091,7.319027024930531e-08,1.2
8.877037697581456e-08,0.600019708447991,8.877037697581456e-08,0.03671012490620923,8.877037697581456e-08,1.2
1.078425980428323e-07,0.6000241797401225,1.078425980428323e-07,0.03682803103930562,1.078425980428323e-07,1.2
1.31214303515081e-07,0.6000296511405951,1.31214303515081e-07,0.03695689365727504,1.31214303515081e-07,1.2
1.598780063528854e-07,0.6000363409121876,1.598780063528854e-07,0.03709868717966804,1.598780063528854e-07,1.2
1.949867326741674e-07,0.6000444891669421,1.949867326741674e-07,0.03725546311531593,1.949867326741674e-07,1.2
2.379501146534017e-07,0.6000543665290828,2.379501146534017e-07,0.03742987320240822,2.379501146534017e-07,1.2
2.905060993916581e-07,0.6000662661730803,2.905060993916581e-07,0.03762556152679727,2.905060993916581e-07,1.2
3.549959149735577e-07,0.6000805213696528,3.549959149735577e-07,0.03784836685355357,3.549959149735577e-07,1.2
4.349622889044141e-07,0.6000975470329316,4.349622889044141e-07,0.03810850921530167,4.349622889044141e-07,1.2
5.363811199728047e-07,0.6001178930416207,5.363811199728047e-07,0.03842614944211323,5.363811199728047e-07,1.2
6.703049581911745e-07,0.6001422233527686,6.703049581911745e-07,0.03883718482027837,6.703049581911745e-07,1.2
8.59562503407576e-07,0.6001708140308178,8.59562503407576e-07,0.03942379492384385,8.59562503407576e-07,1.2
1.069623787238289e-06,0.600193489424602,1.069623787238289e-06,0.04010072133627118,1.069623787238289e-06,1.2
1.284661557440171e-06,0.6002057380481939,1.284661557440171e-06,0.04083498639200451,1.284661557440171e-06,1.2
1.512580095817005e-06,0.6002055603870642,1.512580095817005e-06,0.04166885997281997,1.512580095817005e-06,1.2
1.758695051382004e-06,0.6001891462187936,1.758695051382004e-06,0.04264135428336181,1.758695051382004e-06,1.2
2.025570149241582e-06,0.6001513238801309,2.025570149241582e-06,0.04378638476882261,2.025570149241582e-06,1.2
2.31839566929599e-06,0.6000848559287248,2.31839566929599e-06,0.04515535710568455,2.31839566929599e-06,1.2
2.643866573874579e-06,0.5999792845430255,2.643866573874579e-06,0.04681766118705905,2.643866573874579e-06,1.2
3.010859671375418e-06,0.5998191091716276,3.010859671375418e-06,0.04887034931463885,3.010859671375418e-06,1.2
3.431930779336774e-06,0.5995804072506764,3.431930779336774e-06,0.05145737256624263,3.431930779336774e-06,1.2
3.923869141912402e-06,0.5992258917066726,3.923869141912402e-06,0.05479221402286865,3.923869141912402e-06,1.2
4.514912450250795e-06,0.5986907267061823,4.514912450250795e-06,0.05924588334120374,4.514912450250795e-06,1.2
