/M0/D (vgs=0.3) X,/M0/D (vgs=0.3) Y,/M0/D (vgs=0.6) X,/M0/D (vgs=0.6) Y,/M0/D (vgs=0.9) X,/M0/D (vgs=0.9) Y,/M0/D (vgs=1.2) X,/M0/D (vgs=1.2) Y
0.7320000000000004,2.023270991132963e-08,0.7320000000000004,4.244259270183079e-06,0.7320000000000004,2.899443137057699e-05,0.7320000000000004,7.225515197638415e-05
0.7440000000000004,2.032365546185707e-08,0.7440000000000004,4.251677798291582e-06,0.7440000000000004,2.902383307708182e-05,0.7440000000000004,7.237083130570375e-05
0.7560000000000004,2.041440515319464e-08,0.7560000000000004,4.259043807015396e-06,0.7560000000000004,2.905280644045937e-05,0.7560000000000004,7.247847508264021e-05
0.7680000000000005,2.050495837676894e-08,0.7680000000000005,4.266358120939521e-06,0.7680000000000005,2.908137045269273e-05,0.7680000000000005,7.257921662211666e-05
0.7800000000000005,2.059531454231359e-08,0.7800000000000005,4.273621534911121e-06,0.7800000000000005,2.910954247221484e-05,0.7800000000000005,7.26740076034189e-05
0.7920000000000005,2.068547307920804e-08,0.7920000000000005,4.280834816049846e-06,0.7920000000000005,2.913733842398798e-05,0.7920000000000005,7.276364364433556e-05
0.8040000000000005,2.07754334376669e-08,0.8040000000000005,4.287998705574004e-06,0.8040000000000005,2.916477296899564e-05,0.8040000000000005,7.284878873764097e-05
0.8160000000000005,2.086519508980229e-08,0.8160000000000005,4.295113920463795e-06,0.8160000000000005,2.919185964861674e-05,0.8160000000000005,7.292999726937517e-05
0.8280000000000005,2.095475753057524e-08,0.8280000000000005,4.302181154980908e-06,0.8280000000000005,2.921861100825725e-05,0.8280000000000005,7.300773310266148e-05
0.8400000000000005,2.104412027865356e-08,0.8400000000000005,4.309201082059306e-06,0.8400000000000005,2.924503870375169e-05,0.8400000000000005,7.308238568979766e-05
0.8520000000000005,2.11332828771894e-08,0.8520000000000005,4.316174354581952e-06,0.8520000000000005,2.927115359337382e-05,0.8520000000000005,7.315428343710441e-05
0.8640000000000005,2.122224489453041e-08,0.8640000000000005,4.323101606555462e-06,0.8640000000000005,2.929696581776256e-05,0.8640000000000005,7.322370466324708e-05
0.8760000000000006,2.131100592487596e-08,0.8760000000000006,4.329983454193357e-06,0.8760000000000006,2.932248486966754e-05,0.8760000000000006,7.329088652028693e-05
0.8880000000000006,2.13995655888892e-08,0.8880000000000006,4.336820496917759e-06,0.8880000000000006,2.934771965511791e-05,0.8880000000000006,7.335603222806686e-05
0.9000000000000006,2.148792353427465e-08,0.9000000000000006,4.343613318287238e-06,0.9000000000000006,2.937267854706189e-05,0.9000000000000006,7.341931693235556e-05
0.9120000000000006,2.157607943633048e-08,0.9120000000000006,4.35036248685941e-06,0.9120000000000006,2.939736943279909e-05,0.9120000000000006,7.348089245033275e-05
0.9240000000000006,2.166403299848395e-08,0.9240000000000006,4.357068556993931e-06,0.9240000000000006,2.942179975603366e-05,0.9240000000000006,7.354089112139414e-05
0.9360000000000006,2.175178395281719e-08,0.9360000000000006,4.363732069602464e-06,0.9360000000000006,2.944597655423759e-05,0.9360000000000006,7.359942894049114e-05
0.9480000000000006,2.18393320605903e-08,0.9480000000000006,4.370353552851057e-06,0.9480000000000006,2.946990649196608e-05,0.9480000000000006,7.365660811650908e-05
0.9600000000000006,2.192667711276852e-08,0.9600000000000006,4.376933522819572e-06,0.9600000000000006,2.94935958906595e-05,0.9600000000000006,7.371251916952099e-05
